model,replicate,source_set,run_count,chain_count,replicate_count,action_step_recall_hits,action_step_recall_total,action_step_recall,critical_evidence_recall_hits,critical_evidence_recall_total,critical_evidence_recall,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,candidate_claim_precision_hits,candidate_claim_precision_total,candidate_claim_precision,overclaim_slot_count
gpt-4.1-mini,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,69,23,1,278,585,0.475,11,195,0.056,22,126,0.175,274,769,0.356,495
gpt-4.1-mini,replicate_01,formal_23_chain_2rep_20260612,69,23,1,287,585,0.491,54,195,0.277,21,126,0.167,188,561,0.335,373
gpt-4.1-mini,replicate_02,formal_23_chain_2rep_20260612,69,23,1,253,585,0.432,49,195,0.251,33,126,0.262,224,546,0.410,322
gpt-5.4-mini,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,69,23,1,481,585,0.822,154,195,0.790,78,126,0.619,116,206,0.563,90
gpt-5.4-mini,replicate_01,formal_23_chain_2rep_20260612,69,23,1,469,585,0.802,127,195,0.651,61,126,0.484,368,675,0.545,307
gpt-5.4-mini,replicate_02,formal_23_chain_2rep_20260612,69,23,1,450,585,0.769,130,195,0.667,70,126,0.556,430,684,0.629,254
