model,scenario_group,run_count,logged_cost_runs,estimated_cost_runs,total_effective_cost_usd,avg_effective_cost_per_run_usd,p50_effective_cost_per_run_usd,p90_effective_cost_per_run_usd,input_tokens_total,output_tokens_total,duration_covered_runs,avg_duration_min,p50_duration_min,p90_duration_min,serial_sum_hours,four_parallel_est_hours,observed_window_hours
gpt-4.1-mini,explicit_execution_chain,135,90,135,2.3815,0.0176,0.0135,0.0343,4514482,359798,90,6.37,3.96,15.21,9.55,2.39,74.09
gpt-4.1-mini,multi_step_tool_chain,63,42,63,1.1315,0.0180,0.0160,0.0350,2081262,186874,42,8.19,5.97,15.70,5.73,1.43,74.48
gpt-4.1-mini,semantic_interpretation_chain,9,6,9,0.1303,0.0145,0.0109,0.0260,234544,22826,6,3.75,1.81,8.57,0.38,0.09,69.11
gpt-5.4-mini,explicit_execution_chain,135,89,135,2.6355,0.0195,0.0186,0.0278,1297060,369486,89,1.90,1.38,3.38,2.82,0.71,52.04
gpt-5.4-mini,multi_step_tool_chain,63,41,63,1.4928,0.0237,0.0229,0.0345,633423,226165,41,2.26,1.33,4.37,1.54,0.39,52.11
gpt-5.4-mini,semantic_interpretation_chain,9,6,9,0.2218,0.0246,0.0260,0.0356,111753,30666,6,2.84,2.15,5.36,0.28,0.07,50.24
gpt-5.5 low raw,explicit_execution_chain,45,0,45,18.7982,0.4177,0.4031,0.6221,1140463,436529,45,8.99,7.38,12.03,6.74,1.69,2.81
gpt-5.5 low raw,multi_step_tool_chain,21,0,21,11.0097,0.5243,0.5351,0.6622,617910,264005,21,10.44,10.11,12.67,3.65,0.91,2.61
gpt-5.5 low raw,semantic_interpretation_chain,3,0,3,1.1895,0.3965,0.3661,0.4402,69533,28061,3,6.44,5.84,7.58,0.32,0.08,0.23
