model,run_count,logged_cost_runs,estimated_cost_runs,total_effective_cost_usd,avg_effective_cost_per_run_usd,p50_effective_cost_per_run_usd,p90_effective_cost_per_run_usd,input_tokens_total,output_tokens_total,duration_covered_runs,avg_duration_min,p50_duration_min,p90_duration_min,serial_sum_hours,four_parallel_est_hours,observed_window_hours
gpt-4.1-mini,207,138,207,3.6433,0.0176,0.0148,0.0342,6830288,569498,138,6.81,4.00,15.35,15.66,3.91,74.48
gpt-5.4-mini,207,136,207,4.3501,0.0210,0.0199,0.0305,2042236,626317,136,2.05,1.37,4.13,4.65,1.16,52.17
gpt-5.5 low raw,69,0,69,30.9974,0.4492,0.4587,0.6431,1827906,728595,69,9.32,8.29,12.63,10.72,2.68,2.81
