dataset_label,run_count,chain_count,evaluable_chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
gpt-4.1-mini_2complete_reps,138,23,23,390,369,48,390,0.123,48,369,0.130,0.126,47,390,0.121
gpt-5.4-mini_2complete_reps,138,23,23,390,410,122,390,0.313,122,410,0.298,0.305,122,390,0.313
gpt-5.5_low_1complete_rep,69,23,23,195,0,0,195,0.000,0,0,NA,NA,0,195,0.000
