dataset_label,stage,stage_label,run_count,chain_count,evaluable_chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
gpt-4.1-mini_2complete_reps,stage1,alert_clue,46,23,23,130,141,22,130,0.169,22,141,0.156,0.162,21,130,0.162
gpt-4.1-mini_2complete_reps,stage2,process_time_clue,46,23,23,130,140,12,130,0.092,12,140,0.086,0.089,12,130,0.092
gpt-4.1-mini_2complete_reps,stage3,non_alert_telemetry_only,46,23,23,130,88,14,130,0.108,14,88,0.159,0.128,14,130,0.108
gpt-5.4-mini_2complete_reps,stage1,alert_clue,46,23,23,130,124,24,130,0.185,24,124,0.194,0.189,24,130,0.185
gpt-5.4-mini_2complete_reps,stage2,process_time_clue,46,23,23,130,137,50,130,0.385,50,137,0.365,0.375,50,130,0.385
gpt-5.4-mini_2complete_reps,stage3,non_alert_telemetry_only,46,23,23,130,149,48,130,0.369,48,149,0.322,0.344,48,130,0.369
gpt-5.5_low_1complete_rep,stage1,alert_clue,23,23,23,65,0,0,65,0.000,0,0,NA,NA,0,65,0.000
gpt-5.5_low_1complete_rep,stage2,process_time_clue,23,23,23,65,0,0,65,0.000,0,0,NA,NA,0,65,0.000
gpt-5.5_low_1complete_rep,stage3,non_alert_telemetry_only,23,23,23,65,0,0,65,0.000,0,0,NA,NA,0,65,0.000
