framework_group,run_count,chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order
collection_or_tool_invocation,24,5,75,162,55,75,0.7333333333333333,55,162,0.3395061728395062,55,75,0.7333333333333333
command_shell_execution,9,2,21,66,17,21,0.8095238095238095,17,66,0.25757575757575757,17,21,0.8095238095238095
network_service_behavior,52,13,104,306,100,104,0.9615384615384616,100,306,0.32679738562091504,100,104,0.9615384615384616
persistence_registry_run_key,6,1,18,25,15,18,0.8333333333333334,15,25,0.6,15,18,0.8333333333333334
script_execution_chain,12,2,96,109,71,96,0.7395833333333334,71,109,0.6513761467889908,71,96,0.7395833333333334
