model,action,precision,complete_step,evidence,order,average_cost_usd,average_elapsed_seconds
gpt-4.1-mini,0.36446886446886445,0.44320712694877507,0.19230769230769232,0.10989010989010989,0.23529411764705882,0.21891304347826088,650.0
gpt-5.4-mini,0.2271062271062271,0.43356643356643354,0.12087912087912088,0.17582417582417584,0.10294117647058823,0.06956521739130435,67.0
gpt-5.5,0.7454212454212454,0.49142156862745096,0.7087912087912088,0.6648351648351648,0.6323529411764706,3.736536543478261,784.464347826087
