model,group,count,action_step_recall,action_step_recall_fraction,critical_evidence_recall,critical_evidence_recall_fraction,behavior_sequence_order,behavior_sequence_order_fraction,candidate_claim_precision,candidate_claim_precision_fraction,overclaim_slot_count
gpt-4.1-mini,明示的実行チェーン,45,35.5%,132/372,3.2%,3/93,18.8%,9/48,31.6%,130/411,281
gpt-4.1-mini,複数段ツールチェーン,33,38.7%,175/452,8.8%,10/113,17.9%,15/84,36.0%,160/445,285
gpt-4.1-mini,意味解釈型チェーン,3,38.9%,14/36,0.0%,0/9,16.7%,1/6,36.1%,13/36,23
gpt-5.4-mini,明示的実行チェーン,45,88.2%,246/279,86.0%,80/93,79.2%,38/48,62.2%,74/119,45
gpt-5.4-mini,複数段ツールチェーン,33,81.1%,275/339,78.8%,89/113,54.8%,46/84,40.3%,48/119,71
gpt-5.4-mini,意味解釈型チェーン,3,74.1%,20/27,55.6%,5/9,33.3%,2/6,44.4%,4/9,5
