model,default_one_loop_81run,default_per_chain_3run,default_per_run,medium_one_loop_81run,medium_per_chain_3run,medium_per_run,high_one_loop_81run,high_per_chain_3run,high_per_run
gpt-5.4-nano,$0.75,$0.028,$0.009,$1.02,$0.038,$0.013,$1.56,$0.058,$0.019
gpt-5.4-mini,$2.76,$0.102,$0.034,$3.74,$0.138,$0.046,$5.69,$0.211,$0.070
gpt-5.4,$9.20,$0.341,$0.114,$12.45,$0.461,$0.154,$18.95,$0.702,$0.234
gpt-5.5,$18.41,$0.682,$0.227,$24.91,$0.922,$0.307,$37.90,$1.404,$0.468
Claude Haiku 4.5,$3.47,$0.128,$0.043,$4.55,$0.168,$0.056,$6.71,$0.249,$0.083
Claude Sonnet 4.6,$10.40,$0.385,$0.128,$13.64,$0.505,$0.168,$20.14,$0.746,$0.249
Claude Opus 4.8,$17.33,$0.642,$0.214,$22.74,$0.842,$0.281,$33.57,$1.243,$0.414
Claude Fable 5,$34.65,$1.283,$0.428,$45.48,$1.684,$0.561,$67.14,$2.487,$0.829
