model,group,count,action_step_recall,action_step_recall_fraction,critical_evidence_recall,critical_evidence_recall_fraction,behavior_sequence_order,behavior_sequence_order_fraction,candidate_claim_precision,candidate_claim_precision_fraction,overclaim_slot_count
gpt-4.1-mini,stage1,27,52.3%,157/300,17.3%,13/75,33.3%,16/48,40.2%,151/376,225
gpt-4.1-mini,stage2,27,33.0%,99/300,0.0%,0/75,8.3%,4/48,26.5%,91/344,253
gpt-4.1-mini,stage3,27,25.0%,65/260,0.0%,0/65,11.9%,5/42,35.5%,61/172,111
gpt-5.4-mini,stage1,27,88.9%,200/225,85.3%,64/75,81.3%,39/48,59.0%,49/83,34
gpt-5.4-mini,stage2,27,80.4%,181/225,76.0%,57/75,45.8%,22/48,53.2%,41/77,36
gpt-5.4-mini,stage3,27,82.1%,160/195,81.5%,53/65,59.5%,25/42,41.4%,36/87,51
