model,stage,runs,answerable_steps,action_recall_subject_operation_object,action_recall_fraction,critical_evidence_recall,critical_evidence_recall_fraction,sequence_order,sequence_order_fraction,candidate_precision,candidate_precision_fraction,overclaims
gpt-4.1-mini,stage1,27,75,64.0%,144/225,17.3%,13/75,33.3%,16/48,40.2%,151/376,225
gpt-4.1-mini,stage2,27,75,44.0%,99/225,0.0%,0/75,8.3%,4/48,26.5%,91/344,253
gpt-4.1-mini,stage3,27,65,33.3%,65/195,0.0%,0/65,11.9%,5/42,35.5%,61/172,111
gpt-5.4-mini,stage1,27,75,88.9%,200/225,85.3%,64/75,81.2%,39/48,59.0%,49/83,34
gpt-5.4-mini,stage2,27,75,80.4%,181/225,76.0%,57/75,45.8%,22/48,53.2%,41/77,36
gpt-5.4-mini,stage3,27,65,82.1%,160/195,81.5%,53/65,59.5%,25/42,41.4%,36/87,51
