model,replicate_count,action_step_recall_mean,action_step_recall_sd,action_step_recall_min,action_step_recall_max,action_step_recall_range,critical_evidence_recall_mean,critical_evidence_recall_sd,critical_evidence_recall_min,critical_evidence_recall_max,critical_evidence_recall_range,behavior_sequence_order_mean,behavior_sequence_order_sd,behavior_sequence_order_min,behavior_sequence_order_max,behavior_sequence_order_range,candidate_claim_precision_mean,candidate_claim_precision_sd,candidate_claim_precision_min,candidate_claim_precision_max,candidate_claim_precision_range,overclaim_mean,overclaim_sd,overclaim_range
gpt-4.1-mini,3,0.466,0.031,0.432,0.491,0.059,0.195,0.121,0.056,0.277,0.221,0.201,0.053,0.167,0.262,0.095,0.367,0.039,0.335,0.410,0.075,396.7,88.9,173.0
gpt-5.4-mini,3,0.798,0.027,0.769,0.822,0.053,0.703,0.076,0.651,0.790,0.139,0.553,0.068,0.484,0.619,0.135,0.579,0.044,0.545,0.629,0.084,217.0,113.1,217.0
