model,run_count,chain_count,action_step_recall,action_step_recall_hits,action_step_recall_total,critical_evidence_recall,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,207,23,0.466,818,1755,0.195,114,585,0.201,76,378,0.366,686,1876,1190
gpt-5.4-mini,207,23,0.798,1400,1755,0.703,411,585,0.553,209,378,0.584,914,1565,651
gpt-5.5 low raw,207,23,0.918,1611,1755,0.906,530,585,0.868,328,378,0.640,2891,4519,1235
