model,scenario_group,run_count,chain_count,action_step_recall,action_step_recall_hits,action_step_recall_total,critical_evidence_recall,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,explicit_execution_chain,135,15,0.501,419,837,0.237,66,279,0.243,35,144,0.351,397,1131,734
gpt-4.1-mini,multi_step_tool_chain,63,7,0.428,358,837,0.158,44,279,0.176,38,216,0.382,257,673,416
gpt-4.1-mini,semantic_interpretation_chain,9,1,0.506,41,81,0.148,4,27,0.167,3,18,0.444,32,72,40
gpt-5.4-mini,explicit_execution_chain,135,15,0.865,724,837,0.824,230,279,0.764,110,144,0.640,614,959,345
gpt-5.4-mini,multi_step_tool_chain,63,7,0.746,624,837,0.602,168,279,0.431,93,216,0.469,254,542,288
gpt-5.4-mini,semantic_interpretation_chain,9,1,0.642,52,81,0.481,13,27,0.333,6,18,0.719,46,64,18
gpt-5.5 low raw,explicit_execution_chain,135,15,0.978,819,837,0.975,272,279,0.972,140,144,0.609,1630,2678,787
gpt-5.5 low raw,multi_step_tool_chain,63,7,0.851,712,837,0.839,234,279,0.796,172,216,0.673,1123,1669,421
gpt-5.5 low raw,semantic_interpretation_chain,9,1,0.988,80,81,0.889,24,27,0.889,16,18,0.802,138,172,27
