Time,Image,ParentImage,CommandLine,User,ProcessGuid,ParentProcessGuid
"2024-09-09 21:50:54","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net user administrator","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2e-66de-c000-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:54","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2e-66de-bf00-000000000400}","{30f6f5d4-ef2d-66de-bd00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-bd00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-bc00-000000000400}","{30f6f5d4-ef2d-66de-ba00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-ba00-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:53","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2d-66de-b900-000000000400}","{30f6f5d4-ef2c-66de-b700-000000000400}"
"2024-09-09 21:50:52","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2c-66de-b700-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:52","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef2b-66de-b500-000000000400}","{30f6f5d4-ef25-66de-b000-000000000400}"
"2024-09-09 21:50:45","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef25-66de-b000-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:45","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef25-66de-ae00-000000000400}","{30f6f5d4-ef21-66de-a800-000000000400}"
"2024-09-09 21:50:41","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef21-66de-a800-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:50:40","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef20-66de-a500-000000000400}","{30f6f5d4-ef02-66de-a000-000000000400}"
"2024-09-09 21:50:10","C:\Windows\SysWOW64\net.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","net.exe accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ef02-66de-a000-000000000400}","{30f6f5d4-ee9f-66de-5a00-000000000400}"
"2024-09-09 21:49:59","C:\Program Files\Zoom\bin\Installer.exe","C:\Windows\explorer.exe",""C:\Program Files\Zoom\bin\Installer.exe" /repair","DESKTOP-0B7RNLE\win10","{30f6f5d4-eef6-66de-9d00-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:56","C:\Windows\System32\cmd.exe","C:\Windows\explorer.exe",""C:\Windows\System32\cmd.exe" /q /c rmdir /s /q "C:\Users\win10\AppData\Local\Microsoft\OneDrive\21.220.1024.0005"","DESKTOP-0B7RNLE\win10","{30f6f5d4-eef3-66de-9b00-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:53","C:\Windows\System32\cmd.exe","C:\Windows\explorer.exe",""C:\Windows\System32\cmd.exe" /q /c rmdir /s /q "C:\Users\win10\AppData\Local\Microsoft\OneDrive\21.220.1024.0005\amd64"","DESKTOP-0B7RNLE\win10","{30f6f5d4-eef1-66de-9900-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:53","C:\Windows\System32\cmd.exe","C:\Windows\explorer.exe",""C:\Windows\System32\cmd.exe" /q /c del /q "C:\Users\win10\AppData\Local\Microsoft\OneDrive\StandaloneUpdater\OneDriveSetup.exe"","DESKTOP-0B7RNLE\win10","{30f6f5d4-eef1-66de-9700-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:53","C:\Windows\System32\cmd.exe","C:\Windows\explorer.exe",""C:\Windows\System32\cmd.exe" /q /c del /q "C:\Users\win10\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe"","DESKTOP-0B7RNLE\win10","{30f6f5d4-eef0-66de-9500-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:52","C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\1.3.195.19\MicrosoftEdgeUpdateCore.exe",""C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /c","DESKTOP-0B7RNLE\win10","{30f6f5d4-eef0-66de-9300-000000000400}","{30f6f5d4-eeef-66de-9200-000000000400}"
"2024-09-09 21:49:51","C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\1.3.195.19\MicrosoftEdgeUpdateCore.exe","C:\Windows\explorer.exe",""C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\1.3.195.19\MicrosoftEdgeUpdateCore.exe" ","DESKTOP-0B7RNLE\win10","{30f6f5d4-eeef-66de-9200-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:50","C:\Users\win10\AppData\Local\Microsoft\OneDrive\OneDrive.exe","C:\Windows\explorer.exe",""C:\Users\win10\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background","DESKTOP-0B7RNLE\win10","{30f6f5d4-eeee-66de-9100-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
"2024-09-09 21:49:48","C:\Windows\System32\SecurityHealthSystray.exe","C:\Windows\explorer.exe",""C:\Windows\System32\SecurityHealthSystray.exe" ","DESKTOP-0B7RNLE\win10","{30f6f5d4-eeec-66de-8e00-000000000400}","{30f6f5d4-ee99-66de-4a00-000000000400}"
