"Hour","Total","ProcessCreate","Network","ImageLoad","FileCreate","Registry","DNS","TopImages"
"2024-09-08 06:00","201","8","0","24","45","110","5","C:\Windows\system32\services.exe (49); C:\Windows\system32\svchost.exe (42); C:\Windows\system32\mmc.exe (26); C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe (17); C:\Windows\Sysmon.exe (14)"
"2024-09-16 04:00","21837","50","42","424","3499","1472","51","C:\Users\win10pro\AppData\Local\Temp\chocolatey\Pycharm\2024.2.1\pycharm-professional-2024.2.1.exe (9593); C:\Users\win10pro\AppData\Local\Temp\chocolatey\RubyMine\2024.2.1\RubyMine-2024.2.1.exe (7523); C:\Windows\system32\svchost.exe (1746); C:\Windows\system32\services.exe (272); C:\Users\win10pro\AppData\Local\Microsoft\OneDrive\OneDrive.exe (190)"
"2024-09-16 05:00","12727","97","73","497","5746","1295","71","C:\Windows\system32\msiexec.exe (3404); C:\Users\win10pro\AppData\Local\Temp\chocolatey\WebStorm\2024.2.1\WebStormInstall.exe (1847); C:\Users\win10pro\AppData\Local\Temp\chocolatey\goland\2024.2.1.1\goland-2024.2.1.1.exe (1624); C:\Windows\System32\svchost.exe (1060); C:\Windows\system32\wuauclt.exe (711)"
"2024-09-16 06:00","8468","134","56","583","5389","1439","38","C:\Windows\system32\msiexec.exe (3218); C:\Windows\system32\svchost.exe (632); C:\ProgramData\chocolatey\choco.exe (441); C:\Python312\python.exe (422); C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe (389)"
"2024-09-16 07:00","4657","25","0","69","1919","2604","4","C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.4892_none_7de7b6f67ca95529\TiWorker.exe (2070); C:\Windows\System32\poqexec.exe (1778); C:\Windows\system32\svchost.exe (371); C:\Windows\System32\spoolsv.exe (151); C:\Windows\system32\services.exe (45)"
"2024-09-16 17:00","4738","149","4","435","1119","2876","40","C:\Windows\system32\svchost.exe (2048); C:\Windows\system32\services.exe (668); C:\Windows\System32\spoolsv.exe (245); C:\Users\win10pro\AppData\Local\Microsoft\OneDrive\OneDrive.exe (212); C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe (196)"
